Model,Target,Class,Support (n),Precision,Recall (Sensitivity),Specificity,F1,Overall Accuracy,Accuracy 95% CI,N Matched Records
GPT-4.1-nano (Zero-shot),PR,negative,106,0.838,0.925,0.954,0.879,0.8925,"[0.866, 0.919]",521
GPT-4.1-nano (Zero-shot),PR,not reported,240,0.971,0.838,0.979,0.899,0.8925,"[0.866, 0.919]",521
GPT-4.1-nano (Zero-shot),PR,positive,175,0.843,0.949,0.91,0.892,0.8925,"[0.866, 0.919]",521
GPT-4.1-nano (Zero-shot),Tumor Size,2-5 cm,288,0.906,0.868,0.888,0.887,0.8157,"[0.783, 0.848]",521
GPT-4.1-nano (Zero-shot),Tumor Size,< 2 cm,99,0.791,0.919,0.943,0.85,0.8157,"[0.783, 0.848]",521
GPT-4.1-nano (Zero-shot),Tumor Size,> 5 cm,62,0.823,0.823,0.976,0.823,0.8157,"[0.783, 0.848]",521
GPT-4.1-nano (Zero-shot),Tumor Size,not reported,72,0.485,0.458,0.922,0.471,0.8157,"[0.783, 0.848]",521
GPT-4.1-nano (Few-shot),HER2,equivocal,0,0.0,0.0,0.939,0.0,0.8388,"[0.804, 0.869]",521
GPT-4.1-nano (Few-shot),HER2,negative,221,0.901,0.91,0.927,0.905,0.8388,"[0.804, 0.869]",521
GPT-4.1-nano (Few-shot),HER2,not reported,251,0.953,0.817,0.963,0.88,0.8388,"[0.804, 0.869]",521
GPT-4.1-nano (Few-shot),HER2,positive,49,0.608,0.633,0.958,0.62,0.8388,"[0.804, 0.869]",521
GPT-4.1-nano (Few-shot),ER,negative,67,0.813,0.91,0.969,0.859,0.8752,"[0.846, 0.902]",521
GPT-4.1-nano (Few-shot),ER,not reported,240,0.974,0.792,0.982,0.874,0.8752,"[0.846, 0.902]",521
GPT-4.1-nano (Few-shot),ER,positive,214,0.817,0.958,0.85,0.882,0.8752,"[0.846, 0.902]",521
GPT-4.1-nano (Few-shot),PR,negative,106,0.838,0.925,0.954,0.879,0.8925,"[0.866, 0.918]",521
GPT-4.1-nano (Few-shot),PR,not reported,240,0.971,0.838,0.979,0.899,0.8925,"[0.866, 0.918]",521
GPT-4.1-nano (Few-shot),PR,positive,175,0.843,0.949,0.91,0.892,0.8925,"[0.866, 0.918]",521
GPT-4.1-nano (Few-shot),Tumor Size,2-5 cm,288,0.906,0.868,0.888,0.887,0.8157,"[0.783, 0.846]",521
GPT-4.1-nano (Few-shot),Tumor Size,< 2 cm,99,0.791,0.919,0.943,0.85,0.8157,"[0.783, 0.846]",521
GPT-4.1-nano (Few-shot),Tumor Size,> 5 cm,62,0.823,0.823,0.976,0.823,0.8157,"[0.783, 0.846]",521
GPT-4.1-nano (Few-shot),Tumor Size,not reported,72,0.485,0.458,0.922,0.471,0.8157,"[0.783, 0.846]",521
GPT-4.1-nano (Chain-of-Thought),HER2,equivocal,0,0.0,0.0,0.969,0.0,0.881,"[0.852, 0.908]",521
GPT-4.1-nano (Chain-of-Thought),HER2,negative,221,0.935,0.851,0.957,0.891,0.881,"[0.852, 0.908]",521
GPT-4.1-nano (Chain-of-Thought),HER2,not reported,251,0.902,0.956,0.904,0.928,0.881,"[0.852, 0.908]",521
GPT-4.1-nano (Chain-of-Thought),HER2,positive,49,0.816,0.633,0.985,0.713,0.881,"[0.852, 0.908]",521
GPT-4.1-nano (Chain-of-Thought),ER,negative,67,0.902,0.821,0.987,0.859,0.9271,"[0.902, 0.948]",521
GPT-4.1-nano (Chain-of-Thought),ER,not reported,240,0.907,0.975,0.915,0.94,0.9271,"[0.902, 0.948]",521
GPT-4.1-nano (Chain-of-Thought),ER,positive,214,0.96,0.907,0.974,0.933,0.9271,"[0.902, 0.948]",521
GPT-4.1-nano (Chain-of-Thought),PR,negative,106,0.904,0.802,0.978,0.85,0.9098,"[0.885, 0.935]",521
